ELF Code,Country of formation,Country Code (ISO 3166-1),Jurisdiction of formation,Country sub-division code (ISO 3166-2),Entity Legal Form name Local name,Language,Language Code (ISO 639-1),Entity Legal Form name Transliterated name (per ISO 01-140-10),Abbreviations Local language,Abbreviations transliterated,Date created YYYY-MM-DD (ISO 8601),ELF Status ACTV/INAC,Modification,Modification date YYYY-MM-DD (ISO 8601),Reason
ES2D,Latvia,LV,,,Sabiedrība ar ierobežotu atbildību,Latvian,lv,Sabiedrība ar ierobežotu atbildību,SIA,,11/30/2017,ACTV,,,
VJBO,Latvia,LV,,,Akciju sabiedrība,Latvian,lv,Akciju sabiedrība,AS,,11/30/2017,ACTV,,,
CD8F,Lesotho,LS,,,Non-profit Company,English,en,Non-profit Company,,,6/10/2020,ACTV,,,
K6G7,Lesotho,LS,,,Public Company,English,en,Public Company,,,6/10/2020,ACTV,,,
S02Y,Lesotho,LS,,,External Company,English,en,External Company,,,6/10/2020,ACTV,,,
S779,Lesotho,LS,,,Private Company,English,en,Private Company,,,6/10/2020,ACTV,,,
1DGT,Liechtenstein,LI,,,Treuunternehmen,German,de,Treuunternehmen,Trust reg.,,11/30/2017,ACTV,,,
1SOY,Liechtenstein,LI,,,Europäische Genossenschaft,German,de,Europäische Genossenschaft,SCE,,11/30/2017,ACTV,,,
32HC,Liechtenstein,LI,,,Verein,German,de,Verein,e.V.,,11/30/2017,ACTV,,,
53QF,Liechtenstein,LI,,,Treuhänderschaft,German,de,Treuhänderschaft,,,6/10/2020,ACTV,,,
7RRP,Liechtenstein,LI,,,Aktiengesellschaft,German,de,Aktiengesellschaft,AG,,11/30/2017,ACTV,,,
ANSR,Liechtenstein,LI,,,Kommanditgesellschaft,German,de,Kommanditgesellschaft,KG,,11/30/2017,ACTV,,,
BSZ8,Liechtenstein,LI,,,Stiftung,German,de,Stiftung,,,11/30/2017,ACTV,,,
IF49,Liechtenstein,LI,,,Genossenschaft,German,de,Genossenschaft,eG;e.G.;e.Gen.,,11/30/2017,ACTV,,,
K98U,Liechtenstein,LI,,,Europäische Wirtschaftliche Interessenvereinigung,German,de,Europäische Wirtschaftliche Interessenvereinigung,EWIV,,11/30/2017,ACTV,,,
NDID,Liechtenstein,LI,,,Kollektivgesellschaft,German,de,Kollektivgesellschaft,,,11/30/2017,ACTV,,,
TMU1,Liechtenstein,LI,,,Anstalt,German,de,Anstalt,,,11/30/2017,ACTV,,,
TV8Y,Liechtenstein,LI,,,Kollektivtreuhänderschaft,German,de,Kollektivtreuhänderschaft,,,6/10/2020,ACTV,,,
WAK8,Liechtenstein,LI,,,Europäische Gesellschaft,German,de,Europäische Gesellschaft,SE,,11/30/2017,ACTV,,,
Y8LH,Liechtenstein,LI,,,Gesellschaft mit beschränkter Haftung,German,de,Gesellschaft mit beschränkter Haftung,GmbH;Ges.m.b.H.,,11/30/2017,ACTV,,,
13T9,Lithuania,LT,,,Europos bendrovės,Lithuanian,lt,Europos bendrovės,EB,,11/30/2017,ACTV,,,
4ZF3,Lithuania,LT,,,Valstybės įmonės,Lithuanian,lt,Valstybės įmonės,VI,,11/30/2017,ACTV,,,
